term,estimate,std.error,statistic,p.value,conf.low,conf.high,Modelo
bti_st_l1,0.004278520622306176,5.274633652105521e-4,8.111502910914547,1.8239949816780497e-8,0.003192189486490052,0.0053648517581223005,BTI_Estatico_Global
log_gdp_pc,-0.07683931115554934,0.02901287501939971,-2.648455594427304,0.013805586597883618,-0.13659244578421614,-0.01708617652688256,BTI_Estatico_Global
human_capital,0.5058390455595999,0.05743975129683889,8.806428198922895,3.90516345960281e-9,0.387539663303199,0.6241384278160008,BTI_Estatico_Global
trade_open,0.003718801237242688,7.904650855124313e-4,4.704573681242249,8.012711850573872e-5,0.0020908079190244035,0.0053467945554609726,BTI_Estatico_Global
fdi_gdp,0.008273443597205879,0.0036840285482949552,2.245759903525992,0.03380245191782944,6.860447725486546e-4,0.015860842421863103,BTI_Estatico_Global
gfcf,-0.0054983494427505025,0.003264182192777315,-1.6844493101263616,0.10454093278114336,-0.012221058511986179,0.001224359626485174,BTI_Estatico_Global
gvc_fwd_l1,0.9851270348726215,0.007434017594752295,132.516102136754,4.061860852493579e-37,0.9698163890343828,1.0004376807108601,BTI_Dinamico_Principal
bti_st_l1,3.798431947741754e-5,1.16189399274888e-4,0.3269172550548429,0.7464519327838959,-2.0131222775046035e-4,2.772808667052954e-4,BTI_Dinamico_Principal
log_gdp_pc,-0.01353138657379098,0.0033277799157798156,-4.066190347993642,4.179202352233239e-4,-0.02038507760541763,-0.006677695542164327,BTI_Dinamico_Principal
human_capital,0.037519087590515296,0.01174233328970017,3.195198659828988,0.0037599405633616497,0.013335299481099336,0.061702875699931256,BTI_Dinamico_Principal
trade_open,2.2065384290074846e-5,7.588078746451491e-5,0.290790133146596,0.7736105971797479,-1.3421402290637278e-4,1.7834479148652247e-4,BTI_Dinamico_Principal
fdi_gdp,8.277249358994558e-5,2.4370976949281077e-4,0.3396355171243445,0.7369678584640547,-4.191571723631177e-4,5.847021595430088e-4,BTI_Dinamico_Principal
gfcf,-3.9469984833548875e-4,3.7729698390773583e-4,-1.0461251087870043,0.3055130442617187,-0.0011717575325310113,3.823578358600337e-4,BTI_Dinamico_Principal
gov_eff_l1,0.010954435783519054,0.006297082003043113,1.7396050707653543,0.09422812877001409,-0.002014647371597197,0.023923518938635306,WGI_Estatico_Baseline
log_gdp_pc,0.1711766791839634,0.077666792054184,2.203988019288121,0.03695477730105279,0.011218926679697955,0.33113443168822887,WGI_Estatico_Baseline
human_capital,-0.13848323010540983,0.08512933378780829,-1.6267392676957912,0.11633282809391815,-0.3138103750116049,0.03684391480078525,WGI_Estatico_Baseline
trade_open,8.019684449333072e-4,2.817743019775751e-4,2.8461376332222503,0.008710785481389916,2.2164340683534156e-4,0.001382293483031273,WGI_Estatico_Baseline
fdi_gdp,3.8670849990431536e-4,4.673426053092241e-4,0.8274625414227834,0.4158039480833482,-5.758016130741997e-4,0.0013492186128828305,WGI_Estatico_Baseline
gfcf,-7.253980746167936e-4,0.002931335644873545,-0.2474633281539776,0.806570756157123,-0.0067625968462938085,0.005311800697060222,WGI_Estatico_Baseline
gvc_fwd_l1,0.7839402481061752,0.03640642911286929,21.533016755797693,1.1768290825133324e-17,0.7089598037801409,0.8589206924322096,WGI_Dinamico_Baseline
gov_eff_l1,-0.0014746798788324072,0.004672396291055083,-0.3156153260491966,0.7549142249607071,-0.011097660174001869,0.008148300416337054,WGI_Dinamico_Baseline
log_gdp_pc,-0.00758674055922829,0.016633753590126473,-0.4561051429625395,0.6522519156616315,-0.041844597355092335,0.026671116236635754,WGI_Dinamico_Baseline
human_capital,0.01571771889526436,0.04080222017080522,0.3852172462544255,0.703334542324566,-0.06831602658443722,0.09975146437496596,WGI_Dinamico_Baseline
trade_open,-5.3624768411907997e-5,1.813986290237363e-4,-0.2956183776057707,0.7699630086271761,-4.272222383028862e-4,3.199727014790702e-4,WGI_Dinamico_Baseline
fdi_gdp,4.509250190657841e-5,2.8289740112483463e-4,0.1593952497523311,0.8746382563474624,-5.375456021837326e-4,6.277306059968895e-4,WGI_Dinamico_Baseline
gfcf,-7.507449877493092e-4,9.404855697686055e-4,-0.7982525323956012,0.4322418731531126,-0.0026877112769959034,0.0011862213014972851,WGI_Dinamico_Baseline
